konto_ns_4102;kontonavn_ns_4102;ef_2025;basis;kategori_override;ef_2025_override;basis_override
1021;Konsesjoner, kjøpt;0,014731732;kgCO2e/NOK;;;
1031;Patenter, kjøpt;0,014731732;kgCO2e/NOK;;;
1041;Lisenser, kjøpt (programvare);0,010946734;kgCO2e/NOK;;;
1051;Varemerker, kjøpt;0,014731732;kgCO2e/NOK;;;
1105;Forretningsbygg;0,021456377;kgCO2e/NOK;;;
1120;Bygningsmessige anlegg;0,011400128;kgCO2e/NOK;;;
1131;Eiendom og anlegg under bygging;0,018533044;kgCO2e/NOK;;;
1141;Jord- og skogsbrukseiendommer;0,011758207;kgCO2e/NOK;;;
1151;Tomter;0,023025771;kgCO2e/NOK;;;
1160;Boliger inklusive tomter;0,022241074;kgCO2e/NOK;;;
1200;Maskiner og anlegg;0,030263023;kgCO2e/NOK;;;
1210;Maskiner og anlegg under bygging;0,030263023;kgCO2e/NOK;;;
1221;Skip og båter;0,035314822;kgCO2e/NOK;;;
1225;Fly og helikopter;0,035314822;kgCO2e/NOK;;;
1231;Personbiler;0,025998604;kgCO2e/NOK;;;
1249;Andre transportmidler;0,030656712;kgCO2e/NOK;;;
1250;Møbler, interiør og annet inventar (balanseført eiendel);0,025896101;kgCO2e/NOK;;;
1265;Fast bygningsinventar og oppussing i leide lokaler;0,018496843;kgCO2e/NOK;;;
1270;Verktøy og utstyr (balanseført eiendel);0,027196292;kgCO2e/NOK;;;
1280;Kontormaskiner;0,031470315;kgCO2e/NOK;;;
1290;Andre driftsmidler;0,028540155;kgCO2e/NOK;;;
1461;Varelager: Varer for videresalg, emballasje og demonstrasjonsvarer;0,041506451;kgCO2e/NOK;;;
4000;Råvarer og halvfabrikata;0,048179111;kgCO2e/NOK;;;
4060;Frakt og toll ved mottak av råvarer og halvabrikata;0,025128891;kgCO2e/NOK;;;
4160;Frakt og toll på innkjøp av varer under produksjon;0,025128891;kgCO2e/NOK;;;
4260;Frakt og toll på innkjøp av egenproduserte varer;0,025128891;kgCO2e/NOK;;;
4300;Varer for videresalg;0,012519029;kgCO2e/NOK;;;
4500;Innleid arbeidskraft, fremmedytelse og underentreprise;0,016311208;kgCO2e/NOK;;;
4550;Fremmedytelse og underentreprise, oppgavepliktig;0,008322488;kgCO2e/NOK;;;
5290;Yrkesskadeforsikring;0,006219112;kgCO2e/NOK;;;
5310;Betaling av gruppelivsforsikring;0,005718537;kgCO2e/NOK;;;
5901;Gaver til ansatte, med skattefradrag;0,030082082;kgCO2e/NOK;;;
5911;Kantine, snacks og drikke til kontoret;0,014752805;kgCO2e/NOK;;;
5990;Annen personalkostnad, med skattefradrag;0,015437348;kgCO2e/NOK;;;
5991;Annen personalkostnad, uten skattefradrag;0,012914249;kgCO2e/NOK;;;
6100;Frakt, transportkostnad og forsikring ved utsending av varer;0,046738753;kgCO2e/NOK;;;
6110;Toll og spedisjonskostnad ved vareforsendelse;0,022515077;kgCO2e/NOK;;;
6190;Annen frakt- og transportkostnad ved salg;0,126028508;kgCO2e/NOK;;;
6200;Strøm og brensel til produksjon (gass);0,341631544;kgCO2e/NOK;;;
6200;Strøm og brensel til produksjon (fyringsolje);0,052256384;kgCO2e/NOK;;;
6200;Strøm og brensel til produksjon (ved);0,051066084;kgCO2e/NOK;;;
6200;Strøm og brensel til produksjon (annet brensel);0,25099161;kgCO2e/NOK;;;
6300;Leie lokaler;0,024330147;kgCO2e/NOK;;;
6320;Renovasjon, vann, avløp o.l.;0,054744465;kgCO2e/NOK;;;
6340;Lys, varme;0,022872261;kgCO2e/NOK;;;
6340;Leie andre kontormaskiner;0,01867866;kgCO2e/NOK;;;
6341;Strøm og oppvarming av lokaler;0,022872261;kgCO2e/NOK;;;
6341;Strøm og oppvarming av lokaler;;;Elektrisitet (markedsbasert);0,018;kgCO2e/kWh
6341;Strøm og oppvarming av lokaler;;;Elektrisitet (lokasjonsbasert, NO);0,009;kgCO2e/kWh
6341;Strøm og oppvarming av lokaler;;;Fjernvarme;0,048;kgCO2e/kWh
6360;Renhold, vakthold og vaktmestertjenester;0,015493277;kgCO2e/NOK;;;
6399;Annen kostnad kontorlokaler;0,020182698;kgCO2e/NOK;;;
6400;Leie maskiner;0,01867866;kgCO2e/NOK;;;
6410;Leie inventar;0,01867866;kgCO2e/NOK;;;
6420;Leie datasystemer;0,01867866;kgCO2e/NOK;;;
6420;Leie datasystemer;0,01867866;kgCO2e/NOK;;;
